PLAYER_NAME,Rank,GAME_ID,Date,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
LaMarcus Aldridge,8,21300575,1/15/2014,1610612757,POR,Portland,200746,F,,35:13:00,12,26,0.462,1,1,1,7,7,1,3,15,18,4,1,0,2,3,32,17
LaMarcus Aldridge,8,21300589,1/17/2014,1610612757,POR,Portland,200746,F,,38:25:00,11,22,0.5,0,0,0,4,4,1,1,12,13,1,0,1,2,3,26,9
LaMarcus Aldridge,8,21300600,1/18/2014,1610612757,POR,Portland,200746,F,,31:30:00,11,18,0.611,0,0,0,8,9,0.889,3,9,12,2,3,1,4,2,30,40
LaMarcus Aldridge,8,21300614,1/20/2014,1610612757,POR,Portland,200746,F,,36:49:00,11,26,0.423,0,1,0,5,6,0.833,8,12,20,3,2,1,0,1,27,-10
LaMarcus Aldridge,8,21300619,1/21/2014,1610612757,POR,Portland,200746,F,,37:01:00,12,26,0.462,0,0,0,5,8,0.625,5,11,16,2,0,0,3,0,29,-8
LaMarcus Aldridge,8,21300632,1/23/2014,1610612757,POR,Portland,200746,F,,38:15:00,15,29,0.517,0,0,0,14,17,0.824,4,9,13,5,0,2,2,2,44,4
LaMarcus Aldridge,8,21300653,1/25/2014,1610612757,POR,Portland,200746,F,,33:59:00,9,21,0.429,0,0,0,3,3,1,3,3,6,1,1,1,2,4,21,-8
LaMarcus Aldridge,8,21300660,1/26/2014,1610612757,POR,Portland,200746,F,,34:11:00,2,14,0.143,0,0,0,6,6,1,1,10,11,1,1,1,3,4,10,-18
LaMarcus Aldridge,8,21300672,1/28/2014,1610612757,POR,Portland,200746,F,,38:47:00,11,23,0.478,0,0,0,5,7,0.714,4,12,16,2,0,2,3,3,27,-6
LaMarcus Aldridge,8,21300707,2/1/2014,1610612757,POR,Portland,200746,F,,36:24:00,8,22,0.364,0,1,0,11,14,0.786,2,13,15,1,2,0,4,2,27,1
LaMarcus Aldridge,8,21300711,2/3/2014,1610612757,POR,Portland,200746,F,,42:07:00,10,18,0.556,0,0,0,0,0,0,0,10,10,6,0,1,1,2,20,-10
LaMarcus Aldridge,8,21300728,2/5/2014,1610612757,POR,Portland,200746,F,,38:38:00,5,17,0.294,0,0,0,5,7,0.714,1,11,12,5,0,1,0,1,15,17
LaMarcus Aldridge,8,21300739,2/7/2014,1610612757,POR,Portland,200746,F,,40:12:00,9,24,0.375,0,0,0,4,5,0.8,2,7,9,1,0,1,2,6,22,2
LaMarcus Aldridge,8,21300752,2/8/2014,1610612757,POR,Portland,200746,F,,34:07:00,12,16,0.75,0,0,0,2,2,1,1,8,9,3,2,2,1,2,26,6
LaMarcus Aldridge,8,21300775,2/11/2014,1610612757,POR,Portland,200746,F,,37:22:00,5,22,0.227,0,0,0,2,2,1,2,10,12,1,0,1,4,2,12,5
LaMarcus Aldridge,8,21300789,2/12/2014,1610612757,POR,Portland,200746,F,,36:37:00,10,18,0.556,1,1,1,4,4,1,1,2,3,3,1,0,1,4,25,-6
LaMarcus Aldridge,8,21300809,2/19/2014,1610612757,POR,Portland,200746,,DND - Left Groin Strain,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21300823,2/21/2014,1610612757,POR,Portland,200746,,DND - Left Groin Strain,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21300840,2/23/2014,1610612757,POR,Portland,200746,,DND - Left Groin Strain,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21300850,2/25/2014,1610612757,POR,Portland,200746,,DND - Left Groin Strain,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21300861,2/26/2014,1610612757,POR,Portland,200746,,DND - strained left groin,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21300880,3/1/2014,1610612757,POR,Portland,200746,F,,30:02:00,7,15,0.467,0,1,0,2,2,1,1,6,7,3,1,1,4,4,16,11
LaMarcus Aldridge,8,21300896,3/3/2014,1610612757,POR,Portland,200746,F,,32:27:00,9,19,0.474,0,1,0,3,4,0.75,1,5,6,1,2,0,4,1,21,-1
LaMarcus Aldridge,8,21300913,3/5/2014,1610612757,POR,Portland,200746,F,,29:02:00,1,13,0.077,0,0,0,8,8,1,2,4,6,1,0,2,2,2,10,21
LaMarcus Aldridge,8,21300924,3/7/2014,1610612757,POR,Portland,200746,F,,37:08:00,13,28,0.464,0,1,0,4,6,0.667,5,12,17,3,3,0,3,4,30,-7
LaMarcus Aldridge,8,21300939,3/9/2014,1610612757,POR,Portland,200746,F,,42:06:00,10,27,0.37,1,1,1,7,10,0.7,4,8,12,0,0,2,0,3,28,-2
LaMarcus Aldridge,8,21300953,3/11/2014,1610612757,POR,Portland,200746,F,,37:34:00,8,23,0.348,0,0,0,3,4,0.75,5,5,10,1,0,2,1,3,19,-8
LaMarcus Aldridge,8,21300965,3/12/2014,1610612757,POR,Portland,200746,F,,20:56,6,11,0.545,0,0,0,2,2,1,1,3,4,1,0,0,2,2,14,-4
LaMarcus Aldridge,8,21300977,3/14/2014,1610612757,POR,Portland,200746,,DND - Low Back Contusions,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,8,21301071,3/27/2014,1610612757,POR,Portland,200746,F,,32:14:00,9,21,0.429,0,0,0,7,7,1,5,11,16,2,1,1,1,2,25,10
LaMarcus Aldridge,8,21301080,3/28/2014,1610612757,POR,Portland,200746,F,,29:27:00,2,10,0.2,0,0,0,1,2,0.5,0,13,13,1,4,0,1,2,5,14
LaMarcus Aldridge,8,21301099,3/30/2014,1610612757,POR,Portland,200746,F,,33:18:00,10,20,0.5,0,0,0,8,8,1,1,3,4,0,1,0,0,3,28,-1
LaMarcus Aldridge,8,21301113,4/1/2014,1610612757,POR,Portland,200746,F,,32:32:00,12,20,0.6,0,0,0,7,8,0.875,1,14,15,6,1,2,2,2,31,27
LaMarcus Aldridge,8,21301140,4/4/2014,1610612757,POR,Portland,200746,F,,36:45:00,8,18,0.444,0,1,0,2,2,1,1,6,7,0,0,0,1,3,18,-6
LaMarcus Aldridge,8,21301157,4/6/2014,1610612757,POR,Portland,200746,F,,36:18:00,11,25,0.44,0,0,0,3,4,0.75,8,10,18,4,0,4,3,1,25,9
